[2019-06-18 03:10:23 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3119] abnormal exit, status=255, signal=0
[2019-06-18 03:10:25 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3120] abnormal exit, status=255, signal=0
[2019-06-18 03:10:27 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3121] abnormal exit, status=255, signal=0
[2019-06-18 03:10:29 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3122] abnormal exit, status=255, signal=0
[2019-06-18 03:10:31 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3123] abnormal exit, status=255, signal=0
[2019-06-18 03:10:33 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3124] abnormal exit, status=255, signal=0
[2019-06-18 03:10:35 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3125] abnormal exit, status=255, signal=0
[2019-06-18 03:10:37 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3126] abnormal exit, status=255, signal=0
[2019-06-18 03:10:39 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3127] abnormal exit, status=255, signal=0
[2019-06-18 03:10:41 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3128] abnormal exit, status=255, signal=0
[2019-06-18 03:10:43 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3130] abnormal exit, status=255, signal=0
[2019-06-18 03:10:45 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3131] abnormal exit, status=255, signal=0
[2019-06-18 03:10:47 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3132] abnormal exit, status=255, signal=0
[2019-06-18 03:10:49 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3133] abnormal exit, status=255, signal=0
[2019-06-18 03:10:51 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3134] abnormal exit, status=255, signal=0
[2019-06-18 03:10:53 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3135] abnormal exit, status=255, signal=0
[2019-06-18 03:10:56 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3136] abnormal exit, status=255, signal=0
[2019-06-18 03:10:58 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3137] abnormal exit, status=255, signal=0
[2019-06-18 03:11:00 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3138] abnormal exit, status=255, signal=0
[2019-06-18 03:11:02 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3139] abnormal exit, status=255, signal=0
[2019-06-18 03:11:04 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3140] abnormal exit, status=255, signal=0
[2019-06-18 03:11:06 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3141] abnormal exit, status=255, signal=0
[2019-06-18 03:11:08 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3142] abnormal exit, status=255, signal=0
[2019-06-18 03:11:10 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3143] abnormal exit, status=255, signal=0
[2019-06-18 03:11:12 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3144] abnormal exit, status=255, signal=0
[2019-06-18 03:11:14 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3145] abnormal exit, status=255, signal=0
[2019-06-18 03:11:16 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3146] abnormal exit, status=255, signal=0
[2019-06-18 03:11:18 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3147] abnormal exit, status=255, signal=0
[2019-06-18 03:11:20 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3148] abnormal exit, status=255, signal=0
[2019-06-18 03:11:22 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3149] abnormal exit, status=255, signal=0
[2019-06-18 03:11:24 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3150] abnormal exit, status=255, signal=0
[2019-06-18 03:11:26 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3151] abnormal exit, status=255, signal=0
[2019-06-18 03:11:28 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3152] abnormal exit, status=255, signal=0
[2019-06-18 03:11:30 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3153] abnormal exit, status=255, signal=0
[2019-06-18 03:11:32 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3154] abnormal exit, status=255, signal=0
[2019-06-18 03:11:34 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3155] abnormal exit, status=255, signal=0
[2019-06-18 03:11:36 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3156] abnormal exit, status=255, signal=0
[2019-06-18 03:11:38 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3157] abnormal exit, status=255, signal=0
[2019-06-18 03:11:41 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3158] abnormal exit, status=255, signal=0
[2019-06-18 03:11:43 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3160] abnormal exit, status=255, signal=0
[2019-06-18 03:11:45 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3161] abnormal exit, status=255, signal=0
[2019-06-18 03:11:47 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3162] abnormal exit, status=255, signal=0
[2019-06-18 03:11:49 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3163] abnormal exit, status=255, signal=0
[2019-06-18 03:11:51 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3164] abnormal exit, status=255, signal=0
[2019-06-18 03:11:53 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3165] abnormal exit, status=255, signal=0
[2019-06-18 03:11:55 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3166] abnormal exit, status=255, signal=0
[2019-06-18 03:11:57 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3169] abnormal exit, status=255, signal=0
[2019-06-18 03:11:59 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3170] abnormal exit, status=255, signal=0
[2019-06-18 03:12:01 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3171] abnormal exit, status=255, signal=0
[2019-06-18 03:12:03 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3172] abnormal exit, status=255, signal=0
[2019-06-18 03:12:05 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3173] abnormal exit, status=255, signal=0
[2019-06-18 03:12:07 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3174] abnormal exit, status=255, signal=0
[2019-06-18 03:12:09 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3175] abnormal exit, status=255, signal=0
[2019-06-18 03:12:11 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3176] abnormal exit, status=255, signal=0
[2019-06-18 03:12:13 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3177] abnormal exit, status=255, signal=0
[2019-06-18 03:12:15 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3178] abnormal exit, status=255, signal=0
[2019-06-18 03:12:18 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3179] abnormal exit, status=255, signal=0
[2019-06-18 03:12:20 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3180] abnormal exit, status=255, signal=0
[2019-06-18 03:12:22 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3181] abnormal exit, status=255, signal=0
[2019-06-18 03:12:24 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3182] abnormal exit, status=255, signal=0
[2019-06-18 03:12:26 $3087.0]	WARNING	swManager_check_exit_status: worker#0[pid=3183] abnormal exit, status=255, signal=0
